Unique_ID,Interest_5th,Interest_6th,Final_Interests,Interest,Final_Interests_7th,Interest_8th,Final_Interests_8th,Interest_9th,Final_Interests_9th,Interest_10th,Final_Interests_10th
stud_11,"Hindi, Science","Hindi, Math","Hindi, Math","Hindi, Math","Hindi, Math","History, Sports, Environmental Studies","Environmental Studies, Hindi, History, Math, Sports","Algebra, Defence","Algebra, Defence, Environmental Studies, Hindi, History, Math, Sports","English, Geography","Algebra, Defence, English, Environmental Studies, Geography, Hindi, History, Math, Sports"
stud_12,"Hindi, History, Drawing","Marathi, Math","Drawing, Hindi, History, Marathi, Math","Marathi, Math","Marathi, Math","History, Drawing","Drawing, History, Marathi, Math","Drawing, Geometry","Drawing, Geometry","Marathi, Urdu, Geography","Drawing, Geography, Geometry, Marathi, Urdu"
stud_13,"Science, Sports","History, Environmental Studies","Environmental Studies, History, Science, Sports","History, Environmental Studies","Environmental Studies, History","English, Drawing","Drawing, English, Environmental Studies, History","English, Drawing","Drawing, English","Urdu, Defence","Defence, Drawing, English, Urdu"
stud_14,"Marathi, Environmental Studies, Math","Urdu, English","English, Environmental Studies, Marathi, Math, Urdu","Urdu, English","English, Urdu","Environmental Studies, Computer","Computer, English, Environmental Studies, Urdu","Urdu, Science","Science, Urdu","Marathi, English","English, Marathi, Science, Urdu"
stud_15,"Hindi, Drawing","Marathi, Science, Math","Drawing, Hindi, Marathi, Math, Science","Marathi, Science, Math","Marathi, Math, Science","Urdu, Environmental Studies","Environmental Studies, Marathi, Math, Science, Urdu","English, Sports, Defence","Defence, English, Environmental Studies, Marathi, Math, Science, Sports, Urdu","Urdu, Algebra","Algebra, Urdu"
stud_16,"Hindi, Geography, Drawing","Marathi, English","Drawing, English, Geography, Hindi, Marathi","Marathi, English","English, Marathi","Hindi, Geography","English, Geography, Hindi, Marathi","Geography, Algebra","Algebra, Geography","History, Computer","Algebra, Computer, Geography, History"
stud_17,"Urdu, English","Marathi, Science","English, Marathi, Science, Urdu","Marathi, Science","Marathi, Science","Environmental Studies, Math, Computer","Computer, Environmental Studies, Marathi, Math, Science","Sports, Defence","Computer, Defence, Environmental Studies, Marathi, Math, Science, Sports","Marathi, Urdu","Marathi, Urdu"
stud_18,"Sports, Environmental Studies","Urdu, Drawing, Environmental Studies","Drawing, Environmental Studies, Urdu","Urdu, Drawing, Environmental Studies","Drawing, Environmental Studies, Urdu","Marathi, Hindi","Drawing, Environmental Studies, Hindi, Marathi, Urdu","Science, Computer","Computer, Drawing, Environmental Studies, Hindi, Marathi, Science, Urdu","Hindi, Geography","Geography, Hindi"
stud_19,"Hindi, History, Math","Geography, Computer","Computer, Geography, Hindi, History, Math","Geography, Computer","Computer, Geography","History, Math","Computer, Geography, History, Math","Urdu, Hindi","Computer, Geography, Hindi, History, Math, Urdu","Sports, Geometry","Computer, Geography, Geometry, Hindi, History, Math, Sports, Urdu"
stud_20,"Sports, Math","Urdu, Environmental Studies","Environmental Studies, Math, Sports, Urdu","Urdu, Environmental Studies","Environmental Studies, Urdu","Marathi, Drawing, Math","Drawing, Environmental Studies, Marathi, Math, Urdu","Science, Geometry","Drawing, Environmental Studies, Geometry, Marathi, Math, Science, Urdu","History, Geometry","Geometry, History"
stud_21,"English, Sports","Marathi, Urdu, Hindi","English, Hindi, Marathi, Sports, Urdu","Marathi, Urdu, Hindi","Hindi, Marathi, Urdu","Urdu, Environmental Studies","Environmental Studies, Urdu","Environmental Studies, Computer","Computer, Environmental Studies","Environmental Studies, Defence","Defence, Environmental Studies"
stud_22,"Hindi, Computer","Urdu, Sports, Computer","Computer, Sports, Urdu","Urdu, Sports, Computer","Computer, Sports, Urdu","Hindi, English","Computer, English, Hindi, Sports, Urdu","Urdu, Drawing","Drawing, Urdu","Urdu, Science, Algebra","Algebra, Science, Urdu"
stud_23,"Urdu, Drawing","Geography, Computer","Computer, Drawing, Geography, Urdu","Geography, Computer","Computer, Geography","Geography, Computer","Computer, Geography","Geography, Environmental Studies","Environmental Studies, Geography","Hindi, Environmental Studies","Environmental Studies, Hindi"
stud_24,"Hindi, Drawing","Science, Environmental Studies","Drawing, Environmental Studies, Hindi, Science","Science, Environmental Studies","Environmental Studies, Science","Geography, Computer","Computer, Environmental Studies, Geography, Science","Geography, Computer","Computer, Geography","History, Environmental Studies","Computer, Environmental Studies, Geography, History"
stud_25,"Drawing, Computer","Drawing, Computer","Computer, Drawing","Drawing, Computer","Computer, Drawing","Hindi, Science","Computer, Drawing, Hindi, Science","Drawing, Computer","Computer, Drawing","Drawing, Sanskrit","Drawing, Sanskrit"
stud_26,"Urdu, Geography","Environmental Studies, Math","Environmental Studies, Geography, Math, Urdu","Environmental Studies, Math","Environmental Studies, Math","Marathi, Science, Drawing","Drawing, Environmental Studies, Marathi, Math, Science","Hindi, Computer","Computer, Drawing, Environmental Studies, Hindi, Marathi, Math, Science","Algebra, Geometry","Algebra, Computer, Drawing, Environmental Studies, Geometry, Hindi, Marathi, Math, Science"
stud_27,"Environmental Studies, Computer","Marathi, English","Computer, English, Environmental Studies, Marathi","Marathi, English","English, Marathi","Hindi, Math","English, Hindi, Marathi, Math","Urdu, Defence","Defence, English, Hindi, Marathi, Math, Urdu","Urdu, Geography","Geography, Urdu"
stud_28,"History, Drawing","Drawing, Math","Drawing, Math","Drawing, Math","Drawing, Math","Marathi, Urdu","Drawing, Marathi, Math, Urdu","English, Drawing","Drawing, English","Marathi, Urdu","Drawing, English, Marathi, Urdu"
stud_29,"Marathi, Geography","Sports, Math","Geography, Marathi, Math, Sports","Sports, Math","Math, Sports","English, Math","English, Math","Geography, Computer","Computer, English, Geography, Math","Geometry, Defence","Computer, Defence, English, Geography, Geometry, Math"
stud_30,"Hindi, Science","English, Science","English, Science","English, Science","English, Science","Marathi, English","English, Marathi","History, Drawing","Drawing, English, History, Marathi","Marathi, Hindi, Science","Hindi, Marathi, Science"
stud_31,"Marathi, History","Hindi, Computer","Computer, Hindi, History, Marathi","Hindi, Computer","Computer, Hindi","Hindi, Geography","Geography, Hindi","History, Computer, Defence","Computer, Defence, Geography, Hindi, History","Science, Sports","Computer, Defence, Geography, Hindi, History, Science, Sports"
stud_32,"Hindi, Sports, Computer","Environmental Studies, Computer","Computer, Environmental Studies","Environmental Studies, Computer","Computer, Environmental Studies","History, Environmental Studies","Environmental Studies, History","History, Algebra","Algebra, History","History, Sports","History, Sports"
stud_33,"English, Environmental Studies, Math","English, Geography","English, Geography","English, Geography","English, Geography","Marathi, English","English, Marathi","History, Geography","English, Geography, History, Marathi","Algebra, Geometry, Defence","Algebra, Defence, English, Geography, Geometry, History, Marathi"
stud_34,"English, Computer","Science, Geography","Computer, English, Geography, Science","Science, Geography","Geography, Science","Sports, Math","Geography, Math, Science, Sports","Science, Sports","Science, Sports","Geography, Drawing","Drawing, Geography, Science, Sports"
stud_35,"History, Geography","Geography, Math","Geography, Math","Geography, Math","Geography, Math","Marathi, Science","Geography, Marathi, Math, Science","Hindi, History","Geography, Hindi, History, Marathi, Math, Science","Urdu, Sports","Geography, Hindi, History, Marathi, Math, Science, Sports, Urdu"
stud_36,"Sports, Environmental Studies","Sports, Environmental Studies","Environmental Studies, Sports","Sports, Environmental Studies","Environmental Studies, Sports","Hindi, Science, Geography","Environmental Studies, Geography, Hindi, Science, Sports","Urdu, Science","Science, Urdu","Marathi, Geometry","Geometry, Marathi, Science, Urdu"
stud_37,"History, Geography","Urdu, English","English, Geography, History, Urdu","Urdu, English","English, Urdu","Urdu, Drawing","Drawing, Urdu","Sports, Defence","Defence, Drawing, Sports, Urdu","Marathi, Defence","Defence, Marathi"
stud_38,"Drawing, Sports","Urdu, English, Sports","English, Sports, Urdu","Urdu, English, Sports","English, Sports, Urdu","Marathi, Sports","Marathi, Sports","Urdu, Science","Marathi, Science, Sports, Urdu","English, Geometry","English, Geometry, Marathi, Science, Sports, Urdu"
stud_39,"Geography, Computer","History, Sports","Computer, Geography, History, Sports","History, Sports","History, Sports","Urdu, English","English, History, Sports, Urdu","Science, Algebra","Algebra, English, History, Science, Sports, Urdu","Geography, Drawing, Environmental Studies, Computer","Algebra, Computer, Drawing, English, Environmental Studies, Geography, History, Science, Sports, Urdu"
stud_40,"English, History","Hindi, English","English, Hindi","Hindi, English","English, Hindi","Marathi, Sports","English, Hindi, Marathi, Sports","Urdu, Geometry","English, Geometry, Hindi, Marathi, Sports, Urdu","Urdu, English","English, Urdu"
stud_41,"Hindi, Science","History, Sports","Hindi, History, Science, Sports","History, Sports","History, Sports","History, Math","History, Math","Hindi, Geography, Geometry","Geography, Geometry, Hindi, History, Math","Environmental Studies, Computer","Computer, Environmental Studies, Geography, Geometry, Hindi, History, Math"
stud_42,"Sports, Math","Science, Sports","Science, Sports","Science, Sports","Science, Sports","History, Science","History, Science","Drawing, Algebra","Algebra, Drawing, History, Science","Hindi, English","Algebra, Drawing, English, Hindi, History, Science"
stud_43,"Drawing, Sports","Geography, Computer","Computer, Drawing, Geography, Sports","Geography, Computer","Computer, Geography","Geography, Math","Geography, Math","History, Geometry","Geography, Geometry, History, Math","English, Sanskrit","English, Geography, Geometry, History, Math, Sanskrit"
stud_44,"Hindi, Environmental Studies","Urdu, Hindi","Hindi, Urdu","Urdu, Hindi","Hindi, Urdu","Urdu, History","History, Urdu","History, Defence","Defence, History","English, History","English, History"
stud_45,"English, Drawing","Urdu, Hindi, Environmental Studies","Drawing, English, Environmental Studies, Hindi, Urdu","Urdu, Hindi, Environmental Studies","Environmental Studies, Hindi, Urdu","Urdu, Drawing","Drawing, Urdu","Science, Sports","Drawing, Science, Sports, Urdu","History, Defence","Defence, Drawing, History, Science, Sports, Urdu"
stud_46,"English, Environmental Studies","Hindi, Science","English, Environmental Studies, Hindi, Science","Hindi, Science","Hindi, Science","Science, Drawing","Drawing, Science","Geometry, Defence","Defence, Drawing, Geometry, Science","Urdu, Science","Science, Urdu"
stud_47,"Drawing, Computer","English, Science","Computer, Drawing, English, Science","English, Science","English, Science","Marathi, Hindi, Sports","English, Hindi, Marathi, Science, Sports","Science, Defence","Defence, Science","Sports, Geometry, Computer","Computer, Defence, Geometry, Science, Sports"
stud_48,"Urdu, Geography","Marathi, Urdu, Geography, Environmental Studies","Environmental Studies, Geography, Marathi, Urdu","Marathi, Urdu, Geography, Environmental Studies","Environmental Studies, Geography, Marathi, Urdu","Hindi, Drawing","Drawing, Environmental Studies, Geography, Hindi, Marathi, Urdu","Hindi, Science","Hindi, Science","Environmental Studies, Defence","Defence, Environmental Studies, Hindi, Science"
stud_49,"English, Math","English, Geography","English, Geography","English, Geography","English, Geography","Marathi, Computer","Computer, English, Geography, Marathi","English, Science","English, Science","Science, Geography, Environmental Studies","Environmental Studies, Geography, Science"
stud_50,"English, History","Marathi, History, Drawing, Math","Drawing, History, Marathi, Math","Marathi, History, Drawing, Math","Drawing, History, Marathi, Math","Marathi, Environmental Studies","Environmental Studies, Marathi","Environmental Studies, Computer","Computer, Environmental Studies","English, Geography","Computer, English, Environmental Studies, Geography"
stud_51,"Marathi, Environmental Studies","Hindi, Geography","Environmental Studies, Geography, Hindi, Marathi","Hindi, Geography","Geography, Hindi","Marathi, Computer","Computer, Geography, Hindi, Marathi","Urdu, Algebra","Algebra, Computer, Geography, Hindi, Marathi, Urdu","Sports, Algebra","Algebra, Sports"
stud_52,"Drawing, Environmental Studies","Hindi, Environmental Studies","Environmental Studies, Hindi","Hindi, Environmental Studies","Environmental Studies, Hindi","English, Sports","English, Environmental Studies, Hindi, Sports","Computer, Defence","Computer, Defence, English, Environmental Studies, Hindi, Sports","Science, Sports","Science, Sports"
stud_53,"Marathi, Science","Science, Drawing","Drawing, Science","Science, Drawing","Drawing, Science","Urdu, Geography, Computer","Computer, Drawing, Geography, Science, Urdu","History, Algebra","Algebra, Computer, Drawing, Geography, History, Science, Urdu","Urdu, Drawing","Drawing, Urdu"
stud_54,"Urdu, Computer","History, Geography, Environmental Studies","Computer, Environmental Studies, Geography, History, Urdu","History, Geography, Environmental Studies","Environmental Studies, Geography, History","Sports, Environmental Studies","Environmental Studies, Sports","Marathi, Drawing, Environmental Studies","Drawing, Environmental Studies, Marathi","Sports, Algebra","Algebra, Drawing, Environmental Studies, Marathi, Sports"
stud_55,"Marathi, Drawing","Hindi, Geography","Drawing, Geography, Hindi, Marathi","Hindi, Geography","Geography, Hindi","Drawing, Computer","Computer, Drawing, Geography, Hindi","English, Geometry","Computer, Drawing, English, Geography, Geometry, Hindi","Science, Computer","Computer, Science"
stud_56,"Urdu, Geography","English, Environmental Studies","English, Environmental Studies, Geography, Urdu","English, Environmental Studies","English, Environmental Studies","Geography, Math","English, Environmental Studies, Geography, Math","Geography, Algebra","Algebra, Geography","English, Geometry","Algebra, English, Geography, Geometry"
stud_57,"Urdu, Math","Hindi, Geography, Drawing","Drawing, Geography, Hindi, Math, Urdu","Hindi, Geography, Drawing","Drawing, Geography, Hindi","Sports, Environmental Studies","Drawing, Environmental Studies, Geography, Hindi, Sports","English, Geography, Environmental Studies","English, Environmental Studies, Geography","English, Geometry","English, Geometry"
stud_58,"Hindi, History","English, Sports","English, Hindi, History, Sports","English, Sports","English, Sports","Drawing, Sports","Drawing, Sports","Urdu, Computer","Computer, Drawing, Sports, Urdu","Drawing, Computer","Computer, Drawing"
stud_59,"History, Science","Drawing, Math","Drawing, History, Math, Science","Drawing, Math","Drawing, Math","Geography, Drawing","Drawing, Geography","English, Defence","Defence, Drawing, English, Geography","Marathi, English","English, Marathi"
stud_60,"Marathi, History","Science, Geography","Geography, History, Marathi, Science","Science, Geography","Geography, Science","Geography, Computer","Computer, Geography","History, Algebra","Algebra, Computer, Geography, History","Algebra, Sanskrit","Algebra, Sanskrit"
stud_61,"Urdu, Drawing, Sports","Geography, Sports","Geography, Sports","Geography, Sports","Geography, Sports","Urdu, History, Environmental Studies","Environmental Studies, Geography, History, Sports, Urdu","Geography, Environmental Studies","Environmental Studies, Geography","History, Environmental Studies, Computer","Computer, Environmental Studies, History"
stud_62,"Science, Math","Sports, Computer","Computer, Math, Science, Sports","Sports, Computer","Computer, Sports","English, Science","Computer, English, Science, Sports","English, Geography","English, Geography","Marathi, Defence","Defence, English, Geography, Marathi"
stud_63,"Marathi, English","Marathi, Environmental Studies, Computer","Computer, Environmental Studies, Marathi","Marathi, Environmental Studies, Computer","Computer, Environmental Studies, Marathi","Marathi, Geography, Environmental Studies","Environmental Studies, Geography, Marathi","Urdu, Science","Environmental Studies, Geography, Marathi, Science, Urdu","History, Computer","Computer, Environmental Studies, Geography, History, Marathi, Science, Urdu"
stud_64,"Marathi, Environmental Studies, Math","Hindi, English","English, Environmental Studies, Hindi, Marathi, Math","Hindi, English","English, Hindi","Sports, Math","English, Hindi, Math, Sports","History, Geography","English, Geography, Hindi, History, Math, Sports","Drawing, Environmental Studies, Sanskrit","Drawing, English, Environmental Studies, Geography, Hindi, History, Math, Sanskrit, Sports"
stud_65,"Urdu, Sports","Drawing, Environmental Studies","Drawing, Environmental Studies, Sports, Urdu","Drawing, Environmental Studies","Drawing, Environmental Studies","Urdu, English, Geography","Drawing, English, Environmental Studies, Geography, Urdu","English, Geography","English, Geography","Marathi, Defence","Defence, English, Geography, Marathi"
stud_66,"History, Sports, Environmental Studies","Hindi, Drawing","Drawing, Environmental Studies, Hindi, History, Sports","Hindi, Drawing","Drawing, Hindi","Environmental Studies, Math","Drawing, Environmental Studies, Hindi, Math","Hindi, Geography","Geography, Hindi","Hindi, Science, Defence","Defence, Hindi, Science"
stud_67,"Sports, Math","Marathi, Drawing","Drawing, Marathi, Math, Sports","Marathi, Drawing","Drawing, Marathi","History, Geography","Drawing, Geography, History, Marathi","Geometry, Computer","Computer, Drawing, Geography, Geometry, History, Marathi","Urdu, Geography, Computer","Computer, Geography, Urdu"
stud_68,"Hindi, History","Science, Geography","Geography, Hindi, History, Science","Science, Geography","Geography, Science","Science, Computer","Computer, Science","Urdu, Drawing","Computer, Drawing, Science, Urdu","Science, Algebra","Algebra, Science"
stud_69,"Science, Geography, Computer","Geography, Sports","Geography, Sports","Geography, Sports","Geography, Sports","Science, Sports","Science, Sports","History, Drawing","Drawing, History, Science, Sports","Urdu, Defence","Defence, Drawing, History, Science, Sports, Urdu"
stud_70,"Drawing, Sports","Geography, Computer","Computer, Drawing, Geography, Sports","Geography, Computer","Computer, Geography","History, Geography","Geography, History","Urdu, Sports","Geography, History, Sports, Urdu","Science, Geography","Geography, Science"
stud_71,"English, History","English, History","English, History","English, History","English, History","Hindi, Science","English, Hindi, History, Science","Hindi, Sports","Hindi, Sports","Hindi, Algebra","Algebra, Hindi"
stud_72,"History, Science","History, Drawing","Drawing, History","History, Drawing","Drawing, History","Urdu, Environmental Studies","Drawing, Environmental Studies, History, Urdu","Environmental Studies, Defence","Defence, Environmental Studies","Algebra, Computer","Algebra, Computer, Defence, Environmental Studies"
stud_73,"History, Drawing","Marathi, Science","Drawing, History, Marathi, Science","Marathi, Science","Marathi, Science","English, Math","English, Marathi, Math, Science","History, Sports","English, History, Marathi, Math, Science, Sports","English, History","English, History"
stud_74,"Sports, Environmental Studies, Math","Urdu, Drawing","Drawing, Environmental Studies, Math, Sports, Urdu","Urdu, Drawing","Drawing, Urdu","Sports, Environmental Studies","Drawing, Environmental Studies, Sports, Urdu","Hindi, Science","Drawing, Environmental Studies, Hindi, Science, Sports, Urdu","Sports, Defence","Defence, Sports"
stud_75,"Marathi, Environmental Studies","Hindi, History","Environmental Studies, Hindi, History, Marathi","Hindi, History","Hindi, History","Marathi, English","English, Hindi, History, Marathi","English, Defence","Defence, English","History, Geometry","Defence, English, Geometry, History"
stud_76,"Urdu, History","Urdu, Drawing","Drawing, Urdu","Urdu, Drawing","Drawing, Urdu","Urdu, Sports","Sports, Urdu","Urdu, History, Sports","History, Sports, Urdu","Science, Computer","Computer, History, Science, Sports, Urdu"
stud_77,"English, Science, Drawing","Marathi, History","Drawing, English, History, Marathi, Science","Marathi, History","History, Marathi","English, Sports","English, History, Marathi, Sports","Urdu, Algebra","Algebra, English, History, Marathi, Sports, Urdu","English, Environmental Studies","English, Environmental Studies"
stud_78,"Hindi, Drawing","Drawing, Environmental Studies","Drawing, Environmental Studies","Drawing, Environmental Studies","Drawing, Environmental Studies","Hindi, Math","Drawing, Environmental Studies, Hindi, Math","Marathi, Urdu","Drawing, Environmental Studies, Hindi, Marathi, Math, Urdu","History, Environmental Studies, Geometry","Environmental Studies, Geometry, History"
stud_79,"Urdu, Science","Marathi, Environmental Studies","Environmental Studies, Marathi, Science, Urdu","Marathi, Environmental Studies","Environmental Studies, Marathi","Hindi, Computer","Computer, Environmental Studies, Hindi, Marathi","Urdu, Hindi","Hindi, Urdu","Science, Sports","Hindi, Science, Sports, Urdu"
stud_80,"History, Environmental Studies","History, Geography, Math","Geography, History, Math","History, Geography, Math","Geography, History, Math","Geography, Environmental Studies","Environmental Studies, Geography","Urdu, Environmental Studies","Environmental Studies, Urdu","History, Drawing, Defence","Defence, Drawing, Environmental Studies, History, Urdu"
stud_81,"Sports, Math","History, Science","History, Math, Science, Sports","History, Science","History, Science","Marathi, History","History, Marathi","Geography, Sports","Geography, History, Marathi, Sports","History, Environmental Studies","Environmental Studies, History"
stud_82,"Geography, Computer","History, Science, Computer","Computer, History, Science","History, Science, Computer","Computer, History, Science","Geography, Computer","Computer, Geography","English, History","Computer, English, Geography, History","Urdu, History, Sports","History, Sports, Urdu"
stud_83,"Urdu, Drawing","English, Environmental Studies","Drawing, English, Environmental Studies, Urdu","English, Environmental Studies","English, Environmental Studies","History, Geography","English, Environmental Studies, Geography, History","Drawing, Algebra","Algebra, Drawing, English, Environmental Studies, Geography, History","Science, Environmental Studies","Environmental Studies, Science"
stud_84,"Marathi, Math","Science, Geography, Environmental Studies","Environmental Studies, Geography, Marathi, Math, Science","Science, Geography, Environmental Studies","Environmental Studies, Geography, Science","Drawing, Sports","Drawing, Environmental Studies, Geography, Science, Sports","Marathi, Environmental Studies","Environmental Studies, Marathi","Environmental Studies, Defence","Defence, Environmental Studies"
stud_85,"English, Science","Geography, Math","English, Geography, Math, Science","Geography, Math","Geography, Math","Science, Drawing","Drawing, Geography, Math, Science","English, History, Science","English, History, Science","Geography, Sanskrit","English, Geography, History, Sanskrit, Science"
stud_86,"Geography, Drawing","Sports, Math","Drawing, Geography, Math, Sports","Sports, Math","Math, Sports","Science, Geography","Geography, Math, Science, Sports","Urdu, Defence","Defence, Geography, Math, Science, Sports, Urdu","Marathi, Computer","Computer, Defence, Geography, Marathi, Math, Science, Sports, Urdu"
stud_87,"Urdu, Geography","Urdu, Drawing, Math, Computer","Computer, Drawing, Math, Urdu","Urdu, Drawing, Math, Computer","Computer, Drawing, Math, Urdu","Science, Math","Math, Science","Urdu, History","History, Math, Science, Urdu","Hindi, English","English, Hindi, History, Math, Science, Urdu"
stud_88,"Marathi, Urdu","Urdu, Drawing, Sports","Drawing, Sports, Urdu","Urdu, Drawing, Sports","Drawing, Sports, Urdu","Marathi, Math","Drawing, Marathi, Math, Sports, Urdu","English, Drawing","Drawing, English","English, Defence","Defence, English"
stud_89,"History, Science","Urdu, Drawing","Drawing, History, Science, Urdu","Urdu, Drawing","Drawing, Urdu","Sports, Math","Drawing, Math, Sports, Urdu","Urdu, English","English, Urdu","Urdu, Drawing, Geometry","Drawing, Geometry, Urdu"
stud_90,"Drawing, Math","Drawing, Environmental Studies","Drawing, Environmental Studies","Drawing, Environmental Studies","Drawing, Environmental Studies","Hindi, History, Geography","Drawing, Environmental Studies, Geography, Hindi, History","Urdu, Algebra","Algebra, Drawing, Environmental Studies, Geography, Hindi, History, Urdu","English, Drawing","Drawing, English"
stud_91,"History, Math","Hindi, Math","Hindi, Math","Hindi, Math","Hindi, Math","Hindi, Sports","Hindi, Sports","Hindi, Sports","Hindi, Sports","Science, Defence","Defence, Hindi, Science, Sports"
stud_92,"Hindi, Sports","English, Drawing","Drawing, English, Hindi, Sports","English, Drawing","Drawing, English","Hindi, History","Drawing, English, Hindi, History","Environmental Studies, Algebra","Algebra, Drawing, English, Environmental Studies, Hindi, History","Computer, Defence","Algebra, Computer, Defence, Drawing, English, Environmental Studies, Hindi, History"
stud_93,"Science, Geography","English, Geography","English, Geography","English, Geography","English, Geography","English, Science, Sports","English, Science, Sports","Sports, Algebra","Algebra, Sports","History, Defence","Algebra, Defence, History, Sports"
stud_94,"Science, Environmental Studies","Science, Math","Math, Science","Science, Math","Math, Science","Science, Geography","Geography, Science","Sports, Algebra","Algebra, Geography, Science, Sports","Marathi, Algebra","Algebra, Marathi"
stud_95,"Marathi, Computer","Science, Drawing","Computer, Drawing, Marathi, Science","Science, Drawing","Drawing, Science","Geography, Math","Drawing, Geography, Math, Science","Marathi, Geometry","Drawing, Geography, Geometry, Marathi, Math, Science","Urdu, Geometry","Geometry, Urdu"
stud_96,"Drawing, Computer","English, Drawing, Environmental Studies","Drawing, English, Environmental Studies","English, Drawing, Environmental Studies","Drawing, English, Environmental Studies","Urdu, Geography","Drawing, English, Environmental Studies, Geography, Urdu","Urdu, Environmental Studies","Environmental Studies, Urdu","Science, Algebra, Computer","Algebra, Computer, Environmental Studies, Science, Urdu"
stud_97,"Marathi, Urdu","Marathi, Geography, Computer","Computer, Geography, Marathi","Marathi, Geography, Computer","Computer, Geography, Marathi","Urdu, Computer","Computer, Urdu","Hindi, Sports","Computer, Hindi, Sports, Urdu","Hindi, Drawing","Drawing, Hindi"
stud_98,"Math, Computer","English, Geography","Computer, English, Geography, Math","English, Geography","English, Geography","Geography, Math","Geography, Math","Marathi, History, Algebra, Geometry","Algebra, Geography, Geometry, History, Marathi, Math","Hindi, Algebra","Algebra, Hindi"
stud_99,"Math, Computer","Hindi, Computer","Computer, Hindi","Hindi, Computer","Computer, Hindi","Hindi, Geography","Geography, Hindi","Urdu, Algebra","Algebra, Geography, Hindi, Urdu","Urdu, Hindi","Hindi, Urdu"
stud_100,"Drawing, Computer","Sports, Environmental Studies","Computer, Drawing, Environmental Studies, Sports","Sports, Environmental Studies","Environmental Studies, Sports","Hindi, Math","Environmental Studies, Hindi, Math, Sports","Hindi, Geography","Geography, Hindi","Geography, Geometry","Geography, Geometry"
stud_101,"Hindi, Geography","Urdu, Geography","Geography, Urdu","Urdu, Geography","Geography, Urdu","History, Sports","Geography, History, Sports, Urdu","Science, Environmental Studies","Environmental Studies, Geography, History, Science, Sports, Urdu","Science, Environmental Studies","Environmental Studies, Science"
