Unique_ID,Marathi_Overall_Growth,Urdu_Overall_Growth,Hindi_Overall_Growth,English_Overall_Growth,History_Overall_Growth,Science_Overall_Growth,Geography_Overall_Growth,Drawing_Overall_Growth,Sports_Overall_Growth,Environmental Studies_Overall_Growth,Math_Overall_Growth,Computer_Overall_Growth,Algebra_Overall_Growth,Geometry_Overall_Growth,Defence_Overall_Growth
stud_37,18.4,5.4,2.4,-2.2,-15.0,8.8,-8.0,1.2,4.8,0.0,2.3333333333333335,-11.6,40.0,40.0,3.0
stud_38,5.0,-6.0,2.2,18.8,-13.4,3.6,-10.8,-9.8,-12.0,-7.4,-1.6666666666666667,0.6,-38.0,40.0,-36.0
stud_39,2.0,-9.6,14.8,14.2,-3.0,13.4,1.6,17.8,4.6,-0.6,-8.666666666666666,-2.8,-41.0,3.0,-33.0
stud_40,-6.0,7.2,-2.6,-4.8,-8.2,-18.8,-5.0,-12.0,0.8,-16.8,-11.0,6.4,7.0,-83.0,27.0
stud_41,6.0,1.4,-5.2,3.2,-2.0,-17.0,7.8,-3.2,0.2,6.2,21.666666666666668,7.6,-6.0,-1.0,-2.0
stud_42,-10.2,6.4,4.6,-0.4,4.8,3.8,-9.6,-1.2,-3.4,4.6,-26.666666666666668,-0.6,-24.0,-45.0,-12.0
stud_43,-9.6,-1.4,-7.6,14.2,5.0,8.6,9.4,-0.2,-14.2,6.8,18.0,8.2,-65.0,-2.0,73.0
stud_44,5.2,11.4,-5.2,10.0,6.0,-5.4,8.2,4.8,0.2,-1.4,-12.666666666666666,1.4,-35.0,29.0,-26.0
stud_45,10.2,-10.6,5.8,-13.0,-2.0,9.8,-4.8,-5.2,5.6,2.8,-27.333333333333332,-5.2,37.0,42.0,68.0
stud_46,9.0,15.0,-0.2,-15.0,-11.2,17.2,-3.4,-0.2,-0.8,-15.4,-11.333333333333334,-3.2,14.0,-80.0,-55.0
stud_47,6.4,-1.4,5.4,-3.2,6.8,-11.2,3.0,-12.6,7.0,9.0,-14.0,1.2,-60.0,93.0,-13.0
stud_48,-11.8,0.0,0.2,3.0,4.0,10.6,-15.0,-0.2,-4.6,7.6,9.666666666666666,-0.4,26.0,-1.0,10.0
stud_49,8.8,6.0,7.2,-5.0,6.4,13.0,7.4,-7.2,-6.8,17.0,-20.0,11.2,-18.0,49.0,40.0
stud_50,-1.6,5.4,0.2,-2.6,-9.4,-7.8,4.8,-4.6,-2.6,-7.0,13.333333333333334,0.2,41.0,1.0,31.0
stud_51,-12.2,-0.6,3.2,-4.4,-7.4,-11.4,10.2,6.4,13.2,-6.8,-4.333333333333333,2.8,-13.0,53.0,-19.0
stud_52,-12.0,-11.6,-2.0,0.2,6.6,4.6,-2.8,-14.4,19.2,-6.0,-1.6666666666666667,-3.4,-46.0,19.0,-64.0
stud_53,-8.0,7.0,2.6,11.2,10.8,-5.2,-1.4,13.0,6.6,0.0,6.333333333333333,-10.2,-38.0,13.0,-34.0
stud_54,-5.6,-6.4,-2.6,11.4,12.2,-11.0,14.8,2.4,11.4,-13.0,1.6666666666666667,-3.4,82.0,57.0,16.0
stud_55,-9.6,13.2,14.4,-4.6,9.8,12.8,6.0,-16.4,-2.4,-6.2,-2.3333333333333335,6.4,19.0,-80.0,13.0
stud_56,2.2,1.8,-2.8,5.8,15.4,-11.8,-0.4,-6.6,10.2,7.2,7.0,-0.8,-65.0,63.0,88.0
stud_57,10.0,0.6,1.6,4.6,13.0,5.4,5.6,-4.8,-5.8,2.0,-14.333333333333334,-0.4,48.0,51.0,-28.0
stud_58,-1.4,6.4,-15.2,-6.8,-8.2,7.6,-7.4,13.4,-4.2,3.8,15.0,9.0,-32.0,41.0,13.0
stud_59,10.6,-5.6,-4.2,13.8,-10.2,-19.0,-11.2,-6.6,13.2,0.2,-15.0,1.2,15.0,54.0,-23.0
stud_60,-6.0,5.6,-0.4,1.0,-13.6,-5.8,-2.6,13.4,6.2,0.8,-1.3333333333333333,-12.2,-5.0,-69.0,61.0
stud_61,-6.0,-5.0,-4.0,-12.8,8.4,4.2,14.4,-4.4,-5.2,5.0,4.0,2.2,19.0,-32.0,-1.0
stud_62,8.6,-6.6,12.2,-11.6,1.6,-14.8,-8.0,-2.2,-7.2,4.2,-19.0,-0.2,-63.0,-23.0,68.0
stud_63,-4.0,1.6,-13.0,-10.2,10.4,-5.8,5.8,4.6,6.8,-0.8,-9.333333333333334,7.0,-45.0,-4.0,-44.0
stud_64,-5.4,6.8,1.0,5.6,4.4,6.8,-0.6,14.2,-4.8,2.2,0.0,-6.4,44.0,-37.0,-60.0
stud_65,4.8,-12.2,-9.0,-2.6,14.8,-2.6,-0.4,-4.0,-11.2,10.2,8.0,2.6,9.0,29.0,28.0
stud_66,1.8,15.4,-0.6,-3.0,-9.8,13.8,1.8,-14.0,-12.4,-11.4,4.0,0.2,-18.0,-7.0,54.0
stud_67,-9.0,5.8,-1.8,6.4,-4.6,-8.4,13.0,-8.4,-13.0,9.4,0.6666666666666666,14.2,1.0,-49.0,56.0
stud_68,1.8,13.0,-12.8,2.4,-7.2,12.0,6.4,-4.8,-11.8,-5.8,14.0,-0.4,64.0,-21.0,17.0
stud_69,2.8,12.6,2.4,-4.4,16.4,-3.0,-3.0,6.4,4.0,-6.4,11.666666666666666,-16.2,39.0,-11.0,87.0
stud_70,0.6,3.4,-13.2,3.0,1.0,16.6,15.6,-10.6,-10.0,7.0,13.0,-8.4,55.0,4.0,37.0
stud_71,-2.0,-15.6,13.4,-11.2,-3.8,-5.8,-4.2,4.2,-1.8,-2.8,-1.3333333333333333,-7.4,64.0,-23.0,39.0
stud_72,-5.0,-6.0,1.4,-9.0,-3.4,-15.4,4.8,-4.0,-7.6,-13.8,3.6666666666666665,5.8,17.0,-37.0,-5.0
stud_73,15.6,-10.4,-6.4,13.8,2.6,2.8,-1.2,-12.0,-3.6,-0.8,7.666666666666667,-6.6,-38.0,-19.0,-16.0
stud_74,-7.2,-8.8,0.2,1.6,13.6,0.6,6.2,-6.0,4.0,-16.6,-30.333333333333332,-4.8,4.0,16.0,31.0
stud_75,-8.4,1.0,-3.0,-3.4,14.8,10.2,11.6,7.4,-7.0,-4.2,-1.6666666666666667,-5.6,32.0,89.0,-76.0
stud_76,6.4,-7.8,-11.2,3.2,-10.0,18.2,2.8,-15.0,3.2,3.4,0.0,7.8,-11.0,-7.0,69.0
stud_77,-1.8,-6.2,10.0,0.6,1.4,-15.8,3.2,-18.6,-7.0,9.4,-24.0,-2.0,-26.0,-37.0,24.0
stud_78,8.8,-0.2,-2.6,0.0,13.4,8.2,8.8,-13.8,-5.0,18.6,24.333333333333332,-2.8,15.0,51.0,-6.0
stud_79,-4.8,-3.4,5.8,-7.6,-13.6,1.8,1.8,-0.6,18.2,-13.0,-0.6666666666666666,-9.6,63.0,-15.0,-20.0
stud_80,-16.0,0.0,-13.2,1.2,-0.6,-10.8,-1.2,8.2,-13.0,-14.4,-12.666666666666666,-1.0,60.0,8.0,31.0
stud_81,-5.2,-6.0,-13.6,0.6,-1.2,-12.2,-1.8,3.0,-15.8,11.0,-27.0,-6.0,-5.0,14.0,-38.0
stud_82,-2.2,5.4,-3.0,-4.2,7.6,7.8,-2.0,-2.6,12.4,4.4,-3.3333333333333335,-18.0,-33.0,-42.0,-35.0
stud_83,-6.8,-4.0,7.4,-9.6,5.6,1.4,-6.2,-3.2,-4.8,6.8,-3.0,0.4,-74.0,10.0,9.0
stud_84,-7.0,11.8,-10.0,3.4,0.6,0.8,-1.0,2.6,-7.4,9.4,-23.0,14.6,35.0,5.0,-6.0
stud_85,-1.2,-0.2,9.2,-7.0,-1.6,-3.8,10.0,-4.8,11.2,2.8,8.0,10.4,-25.0,47.0,-47.0
stud_86,3.6,-4.6,2.0,12.0,7.0,-1.2,-8.2,-14.0,6.6,-1.6,-7.333333333333333,6.6,14.0,-6.0,-81.0
stud_87,4.0,-9.0,6.2,8.2,6.2,-6.6,-16.8,-12.6,2.0,-5.4,8.0,4.6,47.0,-38.0,-1.0
stud_88,-5.6,1.6,7.6,7.2,-8.8,-1.4,-5.6,11.2,2.0,-0.4,17.0,10.8,68.0,72.0,86.0
stud_89,7.8,15.8,2.8,1.2,-18.2,-4.2,3.8,16.6,3.4,17.8,16.333333333333332,1.6,45.0,64.0,-67.0
stud_90,-10.8,6.4,2.2,4.8,-0.8,2.6,-4.4,2.6,15.0,2.4,-4.666666666666667,-8.0,-43.0,78.0,-48.0
stud_91,4.8,-1.4,4.0,4.2,-4.6,7.6,0.4,5.0,4.6,1.4,-17.0,5.2,-75.0,62.0,28.0
stud_92,10.4,-3.4,-16.2,-3.8,0.0,-4.2,-1.8,2.4,-7.2,-7.4,1.3333333333333333,4.6,-94.0,-29.0,65.0
stud_93,-2.2,-5.4,1.0,-4.2,16.0,-7.2,-16.8,-5.0,-5.6,2.0,12.333333333333334,-7.2,-85.0,-4.0,20.0
stud_94,2.8,1.2,4.8,9.4,13.2,-19.6,1.8,-5.0,-6.2,-14.4,10.666666666666666,0.0,11.0,-17.0,-24.0
stud_95,-1.4,7.6,13.4,0.4,4.2,-1.4,6.8,7.2,-3.4,1.0,23.0,-2.2,-15.0,-2.0,2.0
stud_96,-2.8,-5.6,-14.6,8.0,-1.4,7.8,4.0,-8.0,0.6,1.0,9.666666666666666,-0.8,3.0,-43.0,-20.0
stud_97,-4.4,-3.6,11.2,2.4,2.8,-1.6,-7.2,13.0,1.2,-2.2,3.6666666666666665,-3.6,-16.0,62.0,-10.0
stud_98,-0.6,3.2,16.4,3.0,-5.6,7.2,3.4,-3.6,-18.2,-2.2,0.0,-18.4,-2.0,-54.0,80.0
stud_99,-2.0,7.8,6.0,-0.2,6.8,3.8,4.4,-11.0,5.2,4.4,-12.666666666666666,-10.8,-90.0,-54.0,-47.0
stud_100,-5.0,3.4,-4.4,6.4,2.4,0.2,3.4,-11.4,11.2,-1.2,8.666666666666666,-15.4,40.0,4.0,53.0
stud_101,13.8,-0.4,-11.6,-9.8,-4.4,7.0,-10.2,-11.0,-3.0,2.2,-23.666666666666668,-2.2,-64.0,27.0,19.0
stud_102,11.8,5.8,12.4,-1.4,9.8,13.2,1.4,5.4,0.4,0.2,-6.333333333333333,6.0,-27.0,-12.0,24.0
stud_103,8.6,10.6,4.6,6.6,-8.6,-2.4,-1.4,-16.0,-7.6,2.8,-4.333333333333333,-5.8,20.0,32.0,-82.0
stud_104,-12.8,-1.8,-11.6,-6.6,5.4,-6.6,-17.4,12.6,-6.4,9.2,26.666666666666668,11.0,62.0,-4.0,-75.0
stud_105,8.2,-13.6,0.6,8.4,-11.6,-2.8,12.4,-6.4,-12.0,-11.2,-28.333333333333332,5.2,-58.0,0.0,-46.0
stud_106,-8.6,-11.4,-4.6,-1.0,-2.6,-1.0,1.2,1.4,-9.4,9.6,-24.333333333333332,0.8,-26.0,17.0,-65.0
stud_107,6.4,19.2,8.6,15.8,1.4,-2.6,-10.2,-3.8,8.0,-13.6,6.666666666666667,2.6,-32.0,9.0,-16.0
stud_108,5.2,0.4,19.0,2.4,2.2,-16.0,-4.2,-5.0,-6.6,-12.4,-4.666666666666667,-10.4,24.0,-16.0,-31.0
stud_109,4.4,-6.0,10.2,-14.2,-8.4,13.4,0.8,3.8,13.2,2.4,-3.3333333333333335,1.6,4.0,10.0,46.0
stud_110,-0.8,19.0,1.8,6.6,5.8,-0.6,5.2,0.4,11.8,-0.6,4.666666666666667,-7.0,-12.0,-17.0,-7.0
stud_111,0.6,-17.4,-2.0,0.2,-5.6,-2.0,5.4,5.6,7.2,-4.8,18.0,3.8,69.0,-11.0,-14.0
stud_112,15.6,11.6,9.4,18.0,2.8,6.2,0.4,-6.0,0.8,-5.6,-13.666666666666666,3.6,30.0,0.0,53.0
stud_113,11.8,1.6,12.6,2.6,-11.6,11.8,0.8,1.4,-18.8,-17.0,-12.0,12.6,-42.0,62.0,30.0
stud_114,-3.4,7.8,7.2,-16.2,15.4,-2.6,-4.8,-9.4,-6.2,-12.0,-8.666666666666666,11.6,-75.0,-6.0,-1.0
stud_115,-0.6,10.6,-6.4,10.6,-4.8,-0.6,-0.8,-3.6,-0.8,5.4,-14.333333333333334,-3.6,-59.0,11.0,-32.0
stud_116,4.6,0.6,10.6,-16.2,11.4,16.0,-6.6,-0.2,-1.2,5.0,-18.666666666666668,11.4,-87.0,-32.0,-43.0
stud_117,3.2,7.2,-0.6,3.0,5.4,5.2,10.4,13.4,0.2,-9.2,-19.333333333333332,1.2,52.0,-17.0,24.0
stud_118,1.0,4.0,-12.2,-7.0,-6.4,-3.4,-9.6,0.0,5.4,-2.4,19.333333333333332,-9.4,12.0,-30.0,24.0
stud_119,11.8,3.4,2.4,-5.4,-4.6,2.6,11.6,-12.0,11.6,-1.6,0.3333333333333333,-11.4,63.0,-55.0,-66.0
stud_120,12.8,5.6,-3.4,-11.0,-15.4,8.4,10.6,-7.6,-6.2,-5.2,-13.0,-5.8,-27.0,2.0,-33.0
stud_121,3.4,-12.0,15.8,8.8,-14.4,3.4,-7.8,-2.8,-18.0,-3.8,7.666666666666667,-10.8,-32.0,-15.0,28.0
stud_122,5.6,-5.6,4.4,-6.0,-9.0,11.8,2.0,-7.6,-1.8,-1.4,-16.666666666666668,-3.4,32.0,27.0,-18.0
stud_123,-6.8,14.6,-12.2,2.0,6.0,-8.6,1.0,16.4,-3.6,0.4,-25.333333333333332,5.0,29.0,-1.0,-29.0
stud_124,-1.2,-1.6,-17.4,1.2,4.4,3.2,-12.4,3.0,-15.2,11.4,4.666666666666667,-13.0,17.0,65.0,-17.0
stud_125,10.8,-15.6,5.4,-6.4,-9.2,-13.2,3.4,-10.4,-9.4,-0.8,-0.6666666666666666,0.8,-19.0,-54.0,22.0
stud_126,5.0,-4.4,2.4,-7.2,-9.6,-3.4,1.2,9.2,4.0,-1.0,1.3333333333333333,11.0,48.0,32.0,26.0
stud_127,4.4,-2.6,2.2,-6.0,13.8,-8.4,-7.2,-8.8,-3.0,1.6,4.0,-14.6,-2.0,67.0,24.0
stud_128,-12.6,-0.6,2.8,1.6,-14.8,6.8,-5.4,0.8,7.8,-2.8,-0.3333333333333333,9.8,-34.0,21.0,-60.0
stud_129,-0.6,-1.0,4.2,0.0,-8.0,0.4,6.0,-9.2,-6.4,-5.8,1.3333333333333333,1.4,-13.0,4.0,46.0
stud_130,-13.6,14.2,-5.0,7.6,1.2,4.0,5.6,2.2,-7.6,-9.8,15.0,-6.2,-49.0,25.0,-4.0
stud_131,5.2,-2.6,-13.8,0.4,0.0,2.0,3.4,13.8,-9.8,-8.0,-6.666666666666667,-6.8,-34.0,0.0,21.0
stud_132,-3.4,-5.4,4.4,-11.8,3.8,-4.6,6.6,10.6,-7.0,0.8,-12.0,-6.0,67.0,-67.0,-66.0
stud_133,1.8,2.2,-0.8,9.4,-2.0,1.0,6.8,11.2,7.6,-4.2,1.3333333333333333,1.4,-70.0,27.0,-80.0
stud_134,1.4,9.4,6.6,-4.6,-0.8,-9.2,-12.2,8.0,-16.4,-0.8,13.0,2.8,-62.0,7.0,25.0
stud_135,7.6,15.2,1.2,0.2,8.2,16.8,-8.2,16.4,9.8,1.8,17.333333333333332,10.0,-11.0,-20.0,26.0
stud_136,3.2,-1.8,14.0,-10.6,8.4,6.2,-5.8,1.0,-5.4,-3.0,11.333333333333334,11.0,75.0,-28.0,-35.0
stud_137,-5.0,3.2,0.2,-11.6,12.0,8.6,-2.0,-2.2,0.0,-17.4,15.333333333333334,2.6,-11.0,26.0,-55.0
stud_138,-11.2,-1.2,-6.2,-4.6,-5.2,-3.0,-12.4,-3.2,-0.2,15.0,20.666666666666668,-4.6,24.0,-11.0,28.0
stud_139,-3.4,19.6,-7.8,0.8,2.4,-10.6,-0.2,-6.2,2.2,2.2,19.0,-4.4,52.0,7.0,53.0
stud_140,-11.8,-15.0,0.4,3.8,9.2,-5.4,4.2,12.0,-2.4,-1.4,-12.0,-12.8,-58.0,38.0,93.0
stud_141,-4.8,6.6,-4.4,8.0,-6.0,4.4,-10.6,-3.2,1.8,0.0,9.666666666666666,6.4,-75.0,56.0,-12.0
stud_142,-19.8,3.6,15.0,-17.2,11.6,-3.2,-0.2,0.4,-0.6,2.0,-1.6666666666666667,-2.4,60.0,-13.0,0.0
stud_143,-3.4,5.0,-11.2,-7.8,-5.8,16.0,3.8,0.8,2.0,5.6,-4.0,-5.8,37.0,-26.0,-16.0
stud_144,-9.8,-0.2,16.2,1.6,-4.0,1.8,13.4,-16.4,5.2,-3.6,9.666666666666666,3.6,-48.0,45.0,-11.0
stud_145,2.0,-7.6,9.4,-0.4,-3.6,-10.6,-1.4,5.0,-7.2,-2.0,-7.0,-7.6,43.0,-22.0,17.0
stud_146,-9.4,-1.0,16.0,5.2,-7.6,-1.2,-0.8,10.6,-16.6,-5.0,-3.0,7.0,-50.0,-71.0,-23.0
stud_147,-2.0,2.4,0.0,-2.0,-0.2,-9.8,-7.8,-10.2,-1.2,16.8,-11.0,1.4,-38.0,65.0,27.0
stud_148,-2.8,4.0,7.8,6.0,-2.2,7.4,-0.6,0.4,-10.4,-7.0,-7.333333333333333,13.0,-56.0,9.0,54.0
stud_149,13.4,-3.8,-0.2,-12.2,-8.6,1.0,-0.4,4.8,11.2,1.8,-0.6666666666666666,9.4,-23.0,-59.0,26.0
stud_150,17.6,7.2,7.8,10.8,-3.8,14.2,-0.6,5.4,10.6,-11.4,-8.333333333333334,17.6,-40.0,0.0,12.0
stud_151,-9.8,-4.8,0.6,14.2,1.4,-8.2,-3.2,2.6,-3.8,-7.8,25.333333333333332,-17.0,67.0,-51.0,-35.0
stud_152,9.6,-1.0,9.0,12.0,-13.8,7.8,-10.8,-4.8,17.8,-10.0,-4.333333333333333,8.2,78.0,37.0,3.0
stud_153,12.8,-1.8,3.0,4.6,0.0,-1.2,11.2,-0.6,-10.2,-7.6,-7.666666666666667,-5.4,33.0,-78.0,36.0
stud_154,3.8,0.8,-4.6,7.4,0.6,-11.4,13.6,6.0,0.0,-13.8,-2.6666666666666665,-11.4,93.0,-3.0,7.0
stud_155,12.0,-10.2,-9.0,-2.0,-9.6,8.6,5.2,5.6,10.0,-7.2,21.0,0.0,-9.0,59.0,3.0
stud_156,3.0,-5.4,6.0,4.0,-3.2,5.0,5.6,4.0,-1.0,-8.0,-15.666666666666666,3.6,33.0,25.0,-50.0
stud_157,0.0,-17.0,-7.8,-7.4,1.0,4.0,9.4,9.8,-2.2,0.2,22.666666666666668,2.2,-7.0,6.0,56.0
stud_158,16.0,-5.0,2.6,-3.8,-15.0,2.4,-7.6,15.6,-8.0,2.0,18.666666666666668,-4.6,-45.0,41.0,10.0
stud_159,7.0,2.0,10.2,-5.2,4.0,3.8,3.8,5.4,-2.2,-6.6,-17.0,-10.4,-60.0,15.0,3.0
stud_160,5.2,-18.4,-4.8,1.2,3.2,1.6,2.2,-5.2,15.4,15.8,2.0,7.6,75.0,24.0,60.0
stud_161,-1.2,4.6,-2.2,6.8,8.4,-9.4,-6.2,-7.6,6.0,-2.6,-9.666666666666666,6.0,-29.0,68.0,8.0
stud_162,7.4,6.6,-7.6,-1.2,-4.4,0.4,-11.2,0.8,6.6,-1.2,-31.333333333333332,5.2,56.0,-16.0,55.0
stud_163,-2.4,12.0,-9.8,-11.6,-0.2,-0.8,-0.4,-1.4,10.6,8.8,13.0,3.8,42.0,1.0,17.0
stud_164,4.6,-2.8,14.2,-2.2,6.0,4.8,-13.4,0.0,5.0,11.6,-9.0,10.2,6.0,12.0,54.0
stud_165,-3.6,-11.2,0.6,-19.0,4.8,5.2,-5.6,4.0,4.2,0.2,24.0,-5.4,61.0,-49.0,56.0
stud_166,7.6,8.8,11.8,-3.8,9.6,0.0,-5.6,18.6,-5.0,-10.4,13.0,-13.2,49.0,-54.0,39.0
stud_167,-9.0,-3.8,-9.8,14.2,5.6,-12.8,-3.2,-0.2,-5.0,-1.2,3.6666666666666665,2.4,18.0,-42.0,-13.0
stud_168,-2.8,-7.2,0.6,0.6,-3.4,14.6,-7.6,-5.8,6.6,-2.2,15.666666666666666,-1.8,-45.0,-3.0,-48.0
stud_169,-12.4,13.8,-14.2,-3.4,3.2,-4.2,2.6,-8.6,0.6,-0.4,-9.0,-12.2,45.0,-33.0,16.0
stud_170,-7.2,11.0,14.6,-6.4,1.8,-11.8,15.2,1.4,-3.8,1.0,4.0,6.4,37.0,51.0,94.0
stud_171,0.6,8.0,-7.2,1.8,-3.6,-5.4,-1.6,-0.6,0.2,10.8,-17.666666666666668,-9.0,32.0,19.0,-38.0
stud_172,4.8,0.6,-8.8,-2.6,7.4,16.0,2.4,-7.8,-3.8,-9.0,-14.666666666666666,-9.6,87.0,77.0,11.0
stud_173,-4.6,-11.4,-1.8,-0.6,-18.6,-2.4,7.0,-5.8,3.6,2.2,-2.6666666666666665,-0.2,2.0,-33.0,-21.0
stud_174,3.6,3.0,4.0,13.0,2.6,14.2,-12.0,12.2,-2.6,11.0,19.666666666666668,-12.0,30.0,11.0,-48.0
stud_175,-7.6,-10.4,2.2,3.4,0.4,7.4,-6.0,16.6,-8.8,13.4,-18.333333333333332,7.0,-67.0,4.0,13.0
stud_176,-15.8,4.0,14.0,-2.4,2.0,10.0,3.4,12.0,-4.8,10.2,0.6666666666666666,0.8,-4.0,11.0,37.0
stud_177,-0.6,-14.0,-7.8,2.4,2.4,15.0,-13.8,1.8,11.4,-17.2,10.333333333333334,1.2,-75.0,79.0,29.0
stud_178,11.2,3.0,3.0,12.4,1.2,4.4,3.8,-3.4,-7.4,1.8,17.0,6.8,-36.0,63.0,1.0
stud_179,-2.2,-3.2,-11.8,10.2,-0.2,10.8,3.6,-4.2,-0.2,8.6,5.666666666666667,2.8,-63.0,-32.0,79.0
stud_180,7.0,12.6,8.0,-4.2,-4.4,5.0,-8.8,7.0,13.0,-6.2,0.3333333333333333,2.0,-51.0,12.0,-25.0
stud_181,14.8,-5.8,6.6,-8.0,9.4,5.0,8.2,6.8,-6.0,0.6,10.0,-6.0,6.0,-22.0,44.0
